name,mpg,cylinders,displacement,weight,acceleration,model_year,origin
chevrolet chevelle malibu,0.2393617021276596,1.0,0.6175710594315246,0.5361497022965693,0.23809523809523803,0.0,usa
buick skylark 320,0.15957446808510636,1.0,0.7286821705426357,0.5897363198185427,0.20833333333333337,0.0,usa
plymouth satellite,0.2393617021276596,1.0,0.6459948320413437,0.5168698610717324,0.1785714285714286,0.0,usa
amc rebel sst,0.18617021276595744,1.0,0.6098191214470284,0.5160192798412249,0.23809523809523803,0.0,usa
ford torino,0.2127659574468085,0.19999999999999996,0.6046511627906976,0.5205557130705982,0.14880952380952384,0.0,usa
ford galaxie 500,0.15957446808510636,1.0,0.9328165374677002,0.7734618656081657,0.11904761904761907,0.0,usa
chevrolet impala,0.1329787234042553,1.0,0.9974160206718348,0.33583782251204986,0.059523809523809534,0.0,usa
plymouth fury iii,0.1329787234042553,1.0,0.9612403100775193,0.7652395803799262,0.029761904761904767,0.0,usa
pontiac catalina,0.1329787234042553,1.0,1.0,0.797278140062376,0.11904761904761907,0.0,usa
amc ambassador dpl,0.15957446808510636,1.0,0.8320413436692506,0.6342500708817692,0.029761904761904767,0.0,usa
dodge challenger se,0.15957446808510636,1.0,0.813953488372093,0.5528777998298838,0.11904761904761907,0.0,usa
plymouth 'cuda 340,0.1329787234042553,1.0,0.702842377260982,0.5659200453643324,0.0,0.0,usa
chevrolet monte carlo,0.15957446808510636,0.19999999999999996,0.8578811369509045,0.6090161610433796,0.0892857142857143,0.0,usa
buick estate wagon (sw),0.1329787234042553,1.0,1.0,0.4176353841791891,0.11904761904761907,0.0,usa
toyota corona mark ii,0.39893617021276595,0.19999999999999996,0.11627906976744184,0.21519705131840094,0.41666666666666663,0.0,japan
plymouth duster,0.3457446808510638,0.6000000000000001,0.3359173126614987,0.3459030337397222,0.4464285714285714,0.0,usa
amc hornet,0.2393617021276596,0.6000000000000001,0.33850129198966405,0.3291749362064077,0.4464285714285714,0.0,usa
ford maverick,0.3191489361702128,0.6000000000000001,0.3410852713178295,0.2761553728381061,0.47619047619047616,0.0,usa
datsun pl510,0.4787234042553191,0.19999999999999996,0.07493540051679587,0.14658349872412813,0.38690476190476186,0.0,japan
volkswagen 1131 deluxe sedan,0.4521276595744681,0.19999999999999996,0.07493540051679587,0.06294301105755595,0.744047619047619,0.0,europe
peugeot 504,0.42553191489361697,0.19999999999999996,0.10852713178294571,0.3002551743691523,0.5654761904761904,0.0,europe
audi 100 ls,0.39893617021276595,0.19999999999999996,0.10077519379844962,0.23164162177487946,0.38690476190476186,0.0,europe
saab 99e,0.42553191489361697,0.19999999999999996,0.09302325581395349,0.21604763254890846,0.5654761904761904,0.0,europe
bmw 2002,0.4521276595744681,0.19999999999999996,0.13695090439276486,0.1760703147150553,0.4464285714285714,0.0,europe
amc gremlin,0.3191489361702128,0.6000000000000001,0.33850129198966405,0.2934505245250921,0.41666666666666663,0.0,usa
ford f250,0.026595744680851047,1.0,0.7545219638242894,0.8511482846611852,0.3571428571428571,0.0,usa
chevy c20,0.026595744680851047,1.0,0.6175710594315246,0.7833853132974199,0.41666666666666663,0.0,usa
dodge d200,0.05319148936170212,1.0,0.6459948320413437,0.7850864757584349,0.32738095238095233,0.0,usa
hi 1200d,0.0,1.0,0.6098191214470284,0.8843209526509782,0.6249999999999999,0.0,usa
datsun pl510,0.4787234042553191,0.19999999999999996,0.07493540051679587,0.14658349872412813,0.38690476190476186,0.08333333333333304,japan
chevrolet vega 2300,0.5053191489361701,0.19999999999999996,0.18604651162790697,0.18457612702013038,0.4464285714285714,0.08333333333333304,usa
toyota corona,0.42553191489361697,0.19999999999999996,0.11627906976744184,0.17436915225404026,0.3571428571428571,0.08333333333333304,japan
